issn,revista,qualis
16815556,AFRICAN INVERTEBRATES,B2
19933738,AFRICAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,B4
1991637X,AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,C
16845315,AFRICAN JOURNAL OF BIOTECHNOLOGY,C
19938233,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,C
19960794,AFRICAN JOURNAL OF FOOD SCIENCE,B2
19960808,AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH,C
19960816,AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY,C
19960824,AFRICAN JOURNAL OF PLANT SCIENCE,B2
10220119,AFRICAN JOURNAL OF RANGE FORAGE SCIENCE,A3
01896016,AFRICAN JOURNAL OF TRADITIONAL COMPLEMENTARY AND ALTERNATIVE MEDICINES,C
00020206,AFRICAN STUDIES REVIEW,A1
08742375,AFRICANA STUDIA,A4
22378839,AFRICANIASCOM,C
00020591,AFROASIA,A2
19811411,AFROASIA,A2
11303557,AGALIA,B3
20691025,AGATHOSAN INTERNATIONALREVIEW OF THE HUMANITIES AND SOCIAL SCIENCES,B2
01619152,AGE,A2
15744647,AGE,A2
00020729,AGE AND AGEING,A1
15681637,AGEING RESEARCH REVIEWS,A1
23188499,AGENDA POLITICA,A2
19819862,AGENDA SOCIAL,B2
19454589,AGING,A1
21525250,AGING AND DISEASE,A1
14749718,AGING CELL,A1
17208319,AGING CLINICAL AND EXPERIMENTAL RESEARCH,A4
15940667,AGING CLINICAL AND EXPERIMENTAL RESEARCH,A4
13685538,AGING MALE,A3
13607863,AGING MENTAL HEALTH,A1
21829888,AGIR REVISTA INTERDISCIPLINAR DE CIENCIAS SOCIAIS E HUMANAS,C
15161498,AGORA,A2
01047507,AGORA,B1
14140454,AGORA,B2
01033557,AGORA ARQUIVOLOGIA EM DEBATE,B2
18094589,AGORA,C
19826737,AGORA,C
16768094,AGORA,C
1982999X,AGORA FILOSOFICA,B4
16795385,AGORA FILOSOFICA,B4
18081150,AGRARIA,C
1984252X,AGRARIAN,B4
19842538,AGRARIAN,B4
23579951,AGRARIAN ACADEMY,C
22779760,AGRARIAN SOUTH JOURNAL OF POLITICAL ECONOMY,A2
18071570,AGRIANUAL,B4
0738145X,AGRICELL REPORT,C
14140810,AGRICULTURA FAMILIAR,B2
18879292,AGRICULTURA FAMILIAR EN ESPANA,C
14619555,AGRICULTURAL AND FOREST ENTOMOLOGY,A2
20266073,AGRICULTURAL SCIENCE RESEARCH JOURNAL,C
21568561,AGRICULTURAL SCIENCES,C
21568553,AGRICULTURAL SCIENCES,C
0308521X,AGRICULTURAL SYSTEMS,A1
03783774,AGRICULTURAL WATER MANAGEMENT,A1
20770472,AGRICULTURE,A2
01678809,AGRICULTURE ECOSYSTEMS ENVIRONMENT,A1
11667699,AGRICULTURES CAHIERS DETUDES ET DE RECHERCHES FRANCOPHONES,B1
22366830,AGRIWORLD,C
13160354,AGROALIMENTARIA,A4
01004298,AGROANALYSIS,B4
14053195,AGROCIENCIA,B2
15100839,AGROCIENCIA,B4
07161689,AGROCIENCIA,B4
25256920,AGROFORESTALIS NEWS,C
15729680,AGROFORESTRY SYSTEMS,A3
01674366,AGROFORESTRY SYSTEMS,A3
19828470,AGROMBIENTE ONLINE,B4
01209965,AGRONOMIA COLOMBIANA,B3
